,date,event_name,digital_button,photoresistor,temperature,humidity
355,November 19 2019 at 02:59AM,esp8266_readings,1,1024,19.10,48.00
356,November 19 2019 at 03:00AM,esp8266_readings,1,1024,19.10,49.00
357,November 19 2019 at 03:01AM,esp8266_readings,1,1024,19.10,48.00
358,November 19 2019 at 03:02AM,esp8266_readings,1,1024,19.10,49.00
359,November 19 2019 at 03:03AM,esp8266_readings,1,1024,19.10,48.00
360,November 19 2019 at 03:04AM,esp8266_readings,1,1024,19.10,48.00
361,November 19 2019 at 03:05AM,esp8266_readings,1,1024,19.10,48.00
362,November 19 2019 at 03:06AM,esp8266_readings,1,1024,19.10,48.00
363,November 19 2019 at 03:07AM,esp8266_readings,1,1024,19.10,48.00
364,November 19 2019 at 03:08AM,esp8266_readings,1,1024,19.10,48.00
365,November 19 2019 at 03:09AM,esp8266_readings,1,1024,19.10,48.00
366,November 19 2019 at 03:10AM,esp8266_readings,1,1024,19.10,48.00
367,November 19 2019 at 03:11AM,esp8266_readings,1,1024,19.10,48.00
368,November 19 2019 at 03:12AM,esp8266_readings,1,1024,19.10,49.00
369,November 19 2019 at 03:13AM,esp8266_readings,1,1024,19.10,49.00
370,November 19 2019 at 03:14AM,esp8266_readings,1,1024,19.10,49.00
371,November 19 2019 at 03:15AM,esp8266_readings,1,1024,19.10,48.00
